dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
5,1,2,0,10,,,,,2,,,0,0,,0,,,0,92.7093132643,7.2906867357,0,95.4819277108,95.7703927492,84.076433121,93.1796801505,0.9254982329,1307,231.2,53655888,26781829.6,19,4.6,2534456,2534440,3,22,2126,0,0,62,53.1,-1,-1,-1,-1,62,53.1,0,0,17,13.8
8,1,2,0,10,,,,,2,,,0,0,,0,,,0,99.6517595308,0.3482404692,0,99.6363636364,99.5157384988,99.9352051836,99.8717008798,0.9982538346,243,230.7,110766128,74697936.8,5,2.4,1669584,497332,4,25,5456,0,0,26,21.6,-1,-1,-1,-1,26,21.6,0,0,11,9.7
9,1,2,0,10,,,,,2,,,0,0,,0,,,0,92.9797870028,7.0202129972,0,94.0335834227,94.4045911047,90.7887479316,92.9797870028,0.9386920226,570,534.7,255155696,150855061.6,2,1.4,6168072,2159907.2,2,58,4601,0,0,121,104.2,-1,-1,-1,-1,121,104.2,0,0,26,21.7
10,1,2,0,10,,,,,2,,,0,0,,0,,,0,85.0578338591,14.9421661409,0,85.7411871045,92.3045734674,71.6955741627,85.0578338591,0.8698502248,1401,1258.5,254604424,-184220319.2,3,2,3053776,1363135.2,2,11,19020,0,0,364,327.5,-1,-1,-1,-1,364,327.5,0,0,24,19.7
0,1,2,0,10,,,,,2,,,0,0,,0,,,0,87.98,12.02,0,96.6794380587,95.9442332066,99.8646608714,99.71,0.983534564,3641,3283.9,514934624,14435155.2,4,3.3,5931880,3246165.6,26,17,20000,0,0,1174,1158.1,-1,-1,-1,-1,1174,1158.1,0,0,26,23.8
11,1,2,0,10,,,,,2,,,0,0,,0,,,0,89.887809756,10.112190244,0,90.4107688038,89.2416853871,90.5339872325,89.887809756,0.8862797467,47894,45371.5,610320312,27860010.4,11,9.7,4888224,2233616.8,2,51,73001,0,0,1770,1709.7,-1,-1,-1,-1,1770,1709.7,0,0,29,25.2
5,4,2,0,10,,,,,2,30,200,0,0,1,0,0,,0,91.6274694262,8.3725305738,0,93.5011709602,96.4954682779,76.4331210191,92.0507996237,0.9358990641,1376,646.3,162402712,135095428.8,6,2.8,1777176,713725.6,3,22,2126,19649,0,21,15.8,533,286.5333333333,-1,-1,200,200,0,0,17,15.4
8,4,2,0,10,,,,,2,30,200,0,0,1,0,0,,0,99.1202346041,0.8797653959,0,98.0838323353,99.1525423729,99.6544276458,99.5784457478,0.998577155,1294,974.4,168788432,155657205.6,30,5.5,1862320,773859.2,4,25,5456,12291,0,21,14.125,506,258.3333333333,-1,-1,148,131.5,0,0,30,25.9
9,4,2,0,10,,,,,2,30,200,0,0,1,0,0,,0,89.6109541404,10.3890458596,0,89.6907216495,93.6154949785,83.4528405957,89.6109541404,0.9333141958,5173,3625.1,341990464,-200776991.2,2,1.5,2174976,882856,2,58,4601,46993,0,38,26.075,454,246.4,-1,-1,200,200,0,0,17,15.6
10,4,2,0,10,,,,,2,30,200,0,0,1,0,0,,0,83.5278654048,16.4721345952,0,83.9021154271,92.3045734674,67.3444976077,83.5278654048,0.8724226087,8751,7819.9,315066400,-183052891.2,3,2.1,1078944,430929.6,2,11,19020,32633,0,105,80.025,161,100.6333333333,-1,-1,200,200,0,0,26,21.3
